Code,Crop
0,Almond Nut
1,Aniseed
2,Apple
3,Apricot
4,Arecanut
5,Asafoetida
6,Ash Gourd
7,Banana
8,Barley(JAV)
9,Bay Leaf
10,Beetroot
11,Bitter Gourd
12,Black Gram
13,Black Pepper
14,Black eyed beans( chawli)
15,Bottle Gourd
16,Brinjal
17,Cabbage
18,Capsicum
19,Cardamom
20,Carrot
21,Cashewnuts
22,Cauliflower
23,Chickoo
24,Chickpeas(Channa)
25,Chili
26,Cinnamon
27,Cloves
28,Cluster Beans(Gavar)
29,Coconut
30,Coffee
31,Coriander leaves
32,Coriander seeds
33,Cotton
34,Cucumber
35,Cumin seeds
36,Curry leaves
37,Custard apple
38,Dates
39,Drumstick â€“ moringa
40,Fava beans (Papdi - Val)
41,Fenugreek Leaf(methi)
42,Figs
43,French Beans(Farasbi)
44,Garcinia indica(kokam)
45,Garlic
46,Ginger
47,Gooseberry(Amla)
48,Grapes
49,Green Peas
50,Guava
51,Horse Gram(kulthi)
52,Jackfruit
53,Jaiphal(Nutmeg)
54,Jambun(Syzygium cumini)
55,Jowar(Sorghum)
56,Jute
57,Kidney beans
58,Lady Finger
59,Lemon
60,Lemon Grass
61,Lentils(Masoor Dal)
62,Lima beans(Pavta)
63,Maize
64,Mango
65,Moth bean(Matki)
66,Mung beans
67,Mushroom
68,Musk Melon
69,Mustard seeds
70,Olive
71,Onion
72,Orange
73,Papaya
74,Pineapple
75,Pistachio Nut
76,Pomegranate
77,Potato
78,Pumpkin
79,Radish
80,Ragi( naachnnii)
81,Raisins
82,Rapeseed (Mohri)
83,Rice
84,Ridgegourd
85,Soyabean
86,Spinach
87,Sunflower
88,Sweet Potato
89,Tamarind
90,Tapioca(Suran)
91,Tomato
92,Turmeric
93,Water Melon
94,Ziziphus mauritiana(Bor)
95,pigeon peas(Toor Dal)
96,sesame seed
